tanggal,NAV,AUM,currency
2012-11-01,NA,0.0,IDR
2012-12-01,NA,31370000000.0,IDR
2012-12-17,1011.4,NA,IDR
2012-12-26,1001.03,NA,IDR
2013-01-01,NA,32490000000.000004,IDR
2013-01-03,1028.8,NA,IDR
2013-01-14,1022.72,NA,IDR
2013-01-21,1039.65,NA,IDR
2013-01-30,1040.26,NA,IDR
2013-02-01,NA,40370000000.0,IDR
2013-02-08,1051.15,NA,IDR
2013-02-18,1080.36,NA,IDR
2013-02-27,1105.27,NA,IDR
2013-03-01,NA,56570000000.0,IDR
2013-03-08,1143.57,NA,IDR
2013-03-18,1114.02,NA,IDR
2013-03-26,1112.11,NA,IDR
2013-04-01,NA,55610000000.0,IDR
2013-04-04,1128.57,NA,IDR
2013-04-15,1122.5,NA,IDR
2013-04-22,1155.56,NA,IDR
2013-05-01,1173.21,60360000000.0,IDR
2013-05-10,1176.73,NA,IDR
2013-05-20,1208.63,NA,IDR
2013-05-28,1190.13,NA,IDR
2013-06-01,NA,76410000000.0,IDR
2013-06-07,1096.4,NA,IDR
2013-06-17,1085.48,NA,IDR
2013-06-25,984.16,NA,IDR
2013-07-01,NA,73590000000.0,IDR
2013-07-04,1042.94,NA,IDR
2013-07-15,1066.7,NA,IDR
2013-07-22,1068.6,NA,IDR
2013-07-31,1061.9,NA,IDR
2013-08-01,NA,66209999999.99999,IDR
2013-08-12,1048.22,NA,IDR
2013-08-19,968.02,NA,IDR
2013-08-27,888.47,NA,IDR
2013-09-01,NA,67349999999.99999,IDR
2013-09-05,909.37,NA,IDR
2013-09-16,1049.42,NA,IDR
2013-09-24,1023.71,NA,IDR
2013-10-01,NA,72260000000.0,IDR
2013-10-03,1008.9,NA,IDR
2013-10-16,1034.25,NA,IDR
2013-10-21,1055.82,NA,IDR
2013-10-30,1050.4,NA,IDR
2013-11-01,NA,72430000000.0,IDR
2013-11-08,1022.32,NA,IDR
2013-11-18,1004.23,NA,IDR
2013-11-26,950.99,NA,IDR
2013-12-01,NA,73010000000.0,IDR
2013-12-05,948.03,NA,IDR
2013-12-16,925.51,NA,IDR
2013-12-23,947.68,NA,IDR
2014-01-01,NA,80370000000.0,IDR
2014-01-02,984.29,NA,IDR
2014-01-13,1012.5,NA,IDR
2014-01-20,1019.64,NA,IDR
2014-01-29,1012.22,NA,IDR
2014-02-01,NA,72090000000.0,IDR
2014-02-07,1024.46,NA,IDR
2014-02-17,1045.8,NA,IDR
2014-02-25,1051.46,NA,IDR
2014-03-01,NA,74300000000.0,IDR
