tanggal,NAV,AUM,currency
2007-03-26,1009.17,NA,IDR
2007-04-09,1037.88,NA,IDR
2007-04-20,1059.25,NA,IDR
2007-05-04,1077.66,NA,IDR
2007-06-15,1176.05,NA,IDR
2007-06-26,1220.77,NA,IDR
2007-07-10,1315.48,NA,IDR
2007-07-23,1369.58,NA,IDR
2007-08-06,1267.51,NA,IDR
2007-08-20,1194.48,NA,IDR
2007-09-03,1290.36,NA,IDR
2007-09-14,1314.97,NA,IDR
2007-09-28,1413.88,NA,IDR
2007-10-11,1607.23,NA,IDR
2007-10-24,1567.28,NA,IDR
2007-11-07,1706.6,NA,IDR
2007-11-20,1678.57,NA,IDR
2007-12-04,1802.6,NA,IDR
2007-12-17,1725.68,NA,IDR
2008-01-02,1748.42,NA,IDR
2008-01-14,1773.55,NA,IDR
2008-01-28,1669.21,NA,IDR
2008-02-08,1707.35,NA,IDR
2008-02-22,1777.95,NA,IDR
2008-03-06,1698.32,NA,IDR
2008-03-24,1462.29,NA,IDR
2008-04-02,1459.6,NA,IDR
2008-04-15,1423.88,NA,IDR
2008-04-29,1447.54,NA,IDR
2008-05-12,1501.0,NA,IDR
2008-05-26,1545.36,NA,IDR
2008-06-09,1564.62,NA,IDR
2008-06-23,1555.1,NA,IDR
2008-07-04,1505.01,NA,IDR
2008-07-18,1359.43,NA,IDR
2008-07-31,1478.35,NA,IDR
2008-08-14,1329.32,NA,IDR
2008-08-27,1356.57,NA,IDR
2008-09-09,1198.4,NA,IDR
2008-09-23,1135.05,NA,IDR
2008-10-06,955.44,NA,IDR
2008-10-20,823.45,NA,IDR
2008-11-03,788.88,NA,IDR
2008-11-17,725.5,NA,IDR
2008-12-01,717.33,NA,IDR
2008-12-12,756.41,NA,IDR
2008-12-26,815.04,NA,IDR
2009-01-08,862.97,NA,IDR
2009-01-21,801.52,NA,IDR
2009-02-03,799.45,NA,IDR
2009-02-17,804.54,NA,IDR
2009-03-02,756.56,NA,IDR
2009-03-16,810.1,NA,IDR
2009-03-31,874.64,NA,IDR
2009-04-13,962.43,NA,IDR
2009-04-27,983.68,NA,IDR
2009-05-08,1217.4,NA,IDR
2009-05-22,1236.74,NA,IDR
2009-06-04,1369.5,NA,IDR
2009-06-17,1336.99,NA,IDR
2009-06-30,1340.08,NA,IDR
2009-07-14,1362.8,NA,IDR
2009-07-27,1462.84,NA,IDR
2009-08-10,1599.62,NA,IDR
2009-08-24,1595.87,NA,IDR
2009-09-07,1554.34,NA,IDR
2009-09-24,1657.11,NA,IDR
2009-10-02,1672.53,NA,IDR
2009-10-15,1700.42,NA,IDR
2009-10-29,1580.24,NA,IDR
2009-11-12,1630.5,NA,IDR
2009-11-25,1652.17,NA,IDR
2009-12-08,1671.42,NA,IDR
2009-12-21,1616.54,NA,IDR
2010-01-04,1724.62,NA,IDR
2010-01-18,1755.7,NA,IDR
2010-02-01,1699.03,NA,IDR
2010-02-15,1641.78,NA,IDR
2010-03-01,1664.22,NA,IDR
2010-03-11,1749.96,NA,IDR
2010-03-25,1832.78,NA,IDR
2010-04-07,1901.55,NA,IDR
2010-04-21,1929.93,NA,IDR
2010-05-04,1930.02,NA,IDR
2010-05-17,1811.55,NA,IDR
2010-06-01,1756.16,NA,IDR
2010-06-14,1814.24,NA,IDR
2010-06-28,1913.99,NA,IDR
2010-07-12,1926.42,NA,IDR
2010-07-23,1991.72,NA,IDR
2010-08-06,1994.18,NA,IDR
2010-08-19,2033.58,NA,IDR
2010-09-01,2032.43,NA,IDR
2010-09-15,2171.18,NA,IDR
2010-09-28,2198.81,NA,IDR
2010-10-11,2233.22,NA,IDR
2010-10-25,2319.37,NA,IDR
2010-11-08,2349.9,NA,IDR
2010-11-22,2331.39,NA,IDR
2010-12-06,2317.92,NA,IDR
2010-12-17,2205.98,NA,IDR
2011-01-03,2327.05,NA,IDR
2011-01-13,2217.39,NA,IDR
2011-01-26,2170.39,NA,IDR
2011-02-09,2092.61,NA,IDR
2011-02-22,2108.74,NA,IDR
2011-03-07,2164.27,NA,IDR
2011-03-21,2139.86,NA,IDR
2011-04-04,2264.76,NA,IDR
2011-04-18,2283.99,NA,IDR
2011-05-02,2337.85,NA,IDR
2011-05-13,2319.83,NA,IDR
2011-05-27,2306.57,NA,IDR
2011-06-09,2268.56,NA,IDR
2011-06-22,2266.27,NA,IDR
2011-07-06,2310.42,NA,IDR
2011-07-19,2364.84,NA,IDR
2011-08-02,2420.9,NA,IDR
2011-08-15,2272.42,NA,IDR
2011-09-05,2197.12,NA,IDR
2011-09-12,2200.5,NA,IDR
2011-09-26,1812.21,NA,IDR
2011-10-07,1880.05,NA,IDR
2011-10-21,2028.43,NA,IDR
2011-11-03,2094.89,NA,IDR
2011-11-16,2135.65,NA,IDR
2011-11-30,2038.79,NA,IDR
2011-12-13,2089.74,NA,IDR
2011-12-27,2104.65,NA,IDR
2012-01-09,2149.45,NA,IDR
2012-01-24,2202.77,NA,IDR
2012-02-06,2192.69,NA,IDR
2012-02-20,2213.5,NA,IDR
2012-03-02,2223.2,NA,IDR
2012-03-16,2255.82,NA,IDR
2012-03-29,2295.22,NA,IDR
2012-04-12,2297.99,NA,IDR
2012-04-25,2330.01,NA,IDR
2012-05-08,2333.35,NA,IDR
2012-05-22,2240.21,NA,IDR
2012-06-04,2027.55,NA,IDR
2012-06-18,2152.46,NA,IDR
2012-07-02,2239.85,NA,IDR
2012-07-16,2242.6,NA,IDR
2012-07-27,2269.52,NA,IDR
2012-08-10,2315.19,NA,IDR
2012-08-23,2313.35,NA,IDR
2012-09-06,2262.97,NA,IDR
2012-09-19,2350.99,NA,IDR
2012-10-02,2375.09,NA,IDR
2012-10-16,2403.42,NA,IDR
2012-10-29,2419.72,NA,IDR
2012-11-12,2438.72,NA,IDR
2012-11-26,2464.43,NA,IDR
2012-12-10,2443.67,NA,IDR
2012-12-26,2452.33,NA,IDR
2013-01-04,2520.51,NA,IDR
2013-01-17,2513.13,NA,IDR
2013-01-31,2530.84,NA,IDR
2013-02-13,2595.79,NA,IDR
2013-02-26,2640.95,NA,IDR
2013-03-13,2756.25,NA,IDR
2013-03-25,2720.52,NA,IDR
2013-04-08,2762.52,NA,IDR
2013-04-22,2876.21,NA,IDR
2013-05-06,2855.77,NA,IDR
2013-05-20,2960.31,NA,IDR
2013-05-31,2867.55,NA,IDR
2013-06-13,2604.96,NA,IDR
2013-06-27,2631.48,NA,IDR
2013-07-10,2507.04,NA,IDR
2013-07-23,2663.74,NA,IDR
2013-08-12,2595.52,NA,IDR
2013-08-19,2412.8,NA,IDR
2013-09-02,2280.45,NA,IDR
2013-09-16,2549.91,NA,IDR
2013-09-30,2412.19,NA,IDR
2013-10-16,2530.57,NA,IDR
2013-10-25,2582.19,NA,IDR
2013-11-07,2530.06,NA,IDR
2013-11-21,2428.61,NA,IDR
2013-12-04,2392.65,NA,IDR
2013-12-18,2355.19,NA,IDR
2014-01-02,2421.16,NA,IDR
2014-01-13,2499.21,NA,IDR
2014-01-27,2447.17,NA,IDR
2014-02-10,2529.55,NA,IDR
2014-02-24,2657.66,NA,IDR
2014-03-10,2667.87,NA,IDR
2014-03-21,2702.49,NA,IDR
2014-04-03,2844.02,NA,IDR
2014-04-17,2819.28,NA,IDR
2014-04-30,2817.82,NA,IDR
2014-05-14,2936.09,NA,IDR
2014-05-28,2961.01,NA,IDR
2014-06-09,2877.36,NA,IDR
2014-06-23,2865.22,NA,IDR
2014-07-07,2969.49,NA,IDR
2014-07-21,3110.79,NA,IDR
2014-08-04,3068.98,NA,IDR
2014-08-15,3088.5,NA,IDR
2014-08-29,3085.37,NA,IDR
2014-09-11,3097.14,NA,IDR
2014-09-24,3097.71,NA,IDR
2014-10-08,2967.71,NA,IDR
2014-10-21,3032.26,NA,IDR
2014-11-03,3085.44,NA,IDR
2014-11-17,3082.69,NA,IDR
2014-12-01,3186.15,NA,IDR
2014-12-15,3138.98,NA,IDR
2014-12-29,3183.23,NA,IDR
2015-01-09,3192.12,NA,IDR
2015-01-23,3197.61,NA,IDR
2015-02-05,3156.37,NA,IDR
2015-02-09,3197.41,NA,IDR
2015-02-16,3162.82,NA,IDR
2015-02-18,3210.27,NA,IDR
2015-02-24,3232.48,NA,IDR
2015-03-03,3248.88,NA,IDR
2015-03-04,3228.43,NA,IDR
2015-03-11,3181.34,NA,IDR
2015-03-17,3188.32,NA,IDR
2015-03-18,3186.74,NA,IDR
2015-03-26,3169.09,NA,IDR
2015-03-30,3212.62,NA,IDR
2015-04-02,3213.58,NA,IDR
2015-04-10,3229.92,NA,IDR
2015-04-13,3209.04,NA,IDR
2015-04-17,3193.36,NA,IDR
2015-04-27,3051.58,NA,IDR
2015-05-04,2954.76,NA,IDR
2015-05-11,2984.96,NA,IDR
2015-05-18,3011.71,NA,IDR
2015-05-25,3048.82,NA,IDR
2015-06-01,2962.1,NA,IDR
2015-06-05,2897.66,NA,IDR
2015-06-09,2773.67,NA,IDR
2015-06-16,2721.01,NA,IDR
2015-06-19,2783.24,NA,IDR
2015-06-24,2753.85,NA,IDR
2015-07-01,2727.67,NA,IDR
2015-07-02,2781.58,NA,IDR
2015-07-08,2741.17,NA,IDR
2015-07-15,2740.5,NA,IDR
2015-07-22,2769.9,NA,IDR
2015-07-23,2765.89,NA,IDR
2015-07-29,2619.66,NA,IDR
2015-07-31,2651.85,NA,IDR
2015-08-07,2659.17,NA,IDR
2015-08-11,2567.21,NA,IDR
2015-08-18,2497.81,NA,IDR
2015-08-24,2260.98,NA,IDR
