tanggal,NAV,AUM,currency
2013-01-01,NA,250750000000.0,IDR
2013-01-03,1000.93,NA,IDR
2013-01-14,1002.58,NA,IDR
2013-01-21,1003.63,NA,IDR
2013-01-30,1004.79,NA,IDR
2013-02-01,NA,301760000000.0,IDR
2013-02-08,1005.99,NA,IDR
2013-02-18,1007.45,NA,IDR
2013-02-26,1008.63,NA,IDR
2013-03-01,NA,252740000000.0,IDR
2013-03-07,1009.95,NA,IDR
2013-03-18,1011.56,NA,IDR
2013-03-25,1012.58,NA,IDR
2013-04-01,NA,304010000000.0,IDR
2013-04-03,1013.66,NA,IDR
2013-04-12,1015.25,NA,IDR
2013-04-22,1016.67,NA,IDR
2013-05-01,1018.02,305140000000.0,IDR
2013-05-10,1019.34,NA,IDR
2013-05-20,1020.77,NA,IDR
2013-05-28,1021.96,NA,IDR
2013-06-01,NA,256160000000.00003,IDR
2013-06-07,1023.47,NA,IDR
2013-06-17,1024.94,NA,IDR
2013-06-24,1026.0,NA,IDR
2013-07-01,NA,297410000000.0,IDR
2013-07-03,1027.34,NA,IDR
2013-07-12,1028.67,NA,IDR
2013-07-22,1030.15,NA,IDR
2013-07-30,1031.15,NA,IDR
2013-08-01,NA,359050000000.0,IDR
2013-08-12,1033.5,NA,IDR
2013-08-19,1034.29,NA,IDR
2013-08-26,1035.39,NA,IDR
2013-09-01,NA,450870000000.0,IDR
2013-09-04,1036.84,NA,IDR
2013-09-13,1038.38,NA,IDR
2013-09-23,1040.01,NA,IDR
2013-10-01,1041.38,453230000000.0,IDR
2013-10-10,1042.95,NA,IDR
2013-10-21,1044.79,NA,IDR
2013-10-28,1046.09,NA,IDR
2013-11-01,NA,364650000000.0,IDR
2013-11-06,1047.85,NA,IDR
2013-11-18,1050.07,NA,IDR
2013-11-25,1051.44,NA,IDR
2013-12-01,NA,366810000000.0,IDR
2013-12-04,1053.21,NA,IDR
2013-12-13,1054.97,NA,IDR
2013-12-23,1057.02,NA,IDR
2014-01-01,NA,438630000000.0,IDR
2014-01-02,1059.16,NA,IDR
2014-01-09,1060.67,NA,IDR
2014-01-20,1063.1,NA,IDR
2014-01-27,1064.51,NA,IDR
2014-02-01,NA,491550000000.0,IDR
2014-02-05,1066.59,NA,IDR
2014-02-14,1068.44,NA,IDR
2014-02-24,1070.96,NA,IDR
2014-03-01,NA,494540000000.0,IDR
2014-03-04,1073.28,NA,IDR
2014-03-13,1075.34,NA,IDR
2014-03-24,1077.56,NA,IDR
2014-04-01,1079.38,447220000000.0,IDR
2014-04-10,1081.52,NA,IDR
2014-04-21,1084.16,NA,IDR
2014-04-28,1085.76,NA,IDR
2014-05-01,NA,272459999999.99997,IDR
2014-05-06,1087.55,NA,IDR
2014-05-16,1089.82,NA,IDR
2014-05-26,1091.29,NA,IDR
2014-06-01,NA,299290000000.0,IDR
2014-06-02,1092.78,NA,IDR
2014-06-12,1095.15,NA,IDR
2014-06-23,1097.77,NA,IDR
2014-06-30,1099.35,NA,IDR
2014-07-01,NA,326130000000.0,IDR
2014-07-10,1101.87,NA,IDR
2014-07-18,1103.84,NA,IDR
2014-08-01,NA,328530000000.0,IDR
2014-08-04,1107.91,NA,IDR
2014-08-05,1107.8,NA,IDR
2014-08-14,1110.14,NA,IDR
2014-08-25,1112.84,NA,IDR
2014-09-01,1114.5,380890000000.0,IDR
2014-09-10,1116.71,NA,IDR
2014-09-19,1118.86,NA,IDR
2014-09-29,1121.26,NA,IDR
2014-10-01,NA,610000000000.0,IDR
2014-10-07,1123.23,NA,IDR
2014-10-16,1125.49,NA,IDR
2014-10-27,1128.11,NA,IDR
2014-11-01,NA,800000000000.0,IDR
2014-11-03,1129.19,NA,IDR
2014-11-12,1131.35,NA,IDR
2014-11-21,1133.51,NA,IDR
2014-12-01,1135.92,337130000000.0,IDR
2014-12-09,1137.63,NA,IDR
2014-12-18,1139.81,NA,IDR
2014-12-29,1142.48,NA,IDR
2015-01-01,NA,870000000000.0,IDR
2015-01-06,1144.46,NA,IDR
2015-01-15,1146.65,NA,IDR
2015-01-26,1149.34,NA,IDR
2015-02-01,NA,630000000000.0,IDR
2015-02-02,1151.11,NA,IDR
2015-02-09,1152.92,NA,IDR
2015-02-11,1153.39,NA,IDR
2015-02-16,1154.59,NA,IDR
2015-02-20,1155.52,NA,IDR
2015-02-24,1156.47,NA,IDR
2015-03-01,NA,421960000000.0,IDR
2015-03-02,1157.92,NA,IDR
2015-03-03,1158.16,NA,IDR
2015-03-10,1159.88,NA,IDR
2015-03-11,1160.0,NA,IDR
2015-03-18,1161.9,NA,IDR
2015-03-19,1162.13,NA,IDR
2015-03-26,1163.69,NA,IDR
2015-03-30,1164.7,NA,IDR
2015-04-01,NA,423920000000.0,IDR
2015-04-02,1165.41,NA,IDR
2015-04-06,1166.63,NA,IDR
2015-04-10,1167.34,NA,IDR
2015-04-15,1168.52,NA,IDR
2015-04-17,1169.06,NA,IDR
2015-04-24,1170.71,NA,IDR
2015-04-27,1171.41,NA,IDR
2015-05-01,NA,426320000000.0,IDR
2015-05-04,1173.04,NA,IDR
2015-05-11,1174.65,NA,IDR
2015-05-12,1174.88,NA,IDR
2015-05-18,1176.24,NA,IDR
2015-05-21,1176.92,NA,IDR
2015-05-25,1177.83,NA,IDR
2015-06-01,1179.4,367730000000.0,IDR
2015-06-08,1180.98,NA,IDR
2015-06-09,1181.2,NA,IDR
2015-06-16,1182.95,NA,IDR
