tanggal,NAV,AUM
2009-02-18,NA,5075.3
2009-02-19,999.94,NA
2009-03-02,NA,5040.48
2009-03-03,998.16,NA
2009-03-13,NA,5213.89
2009-03-16,1007.48,NA
2009-03-25,NA,101870.0
2009-03-27,1109.62,NA
2009-04-06,NA,557.62
2009-04-07,1098.98,NA
2009-04-20,1098.6,557.4
2009-04-29,NA,683.42
2009-05-01,1334.25,NA
2009-05-11,NA,2.54
2009-05-13,1336.91,NA
2009-05-25,1336.91,2.36
2009-06-04,NA,102.34
2009-06-08,1368.22,NA
2009-06-16,NA,102.34
2009-06-18,1367.93,NA
2009-06-29,NA,102.31
2009-06-30,1367.84,NA
2009-07-09,NA,102.3
2009-07-13,1367.57,NA
2009-07-21,NA,102.29
2009-07-24,1367.48,NA
2009-08-03,NA,102.27
2009-08-05,1367.22,NA
2009-08-14,NA,102.26
2009-08-17,1367.14,NA
2009-08-31,1367.09,NA
2009-09-10,1367.09,NA
2009-09-22,1367.09,NA
2009-10-05,1367.09,NA
2009-10-07,NA,21440.0
2009-10-12,NA,21480.0
2009-10-15,1366.56,NA
2009-10-26,NA,21610.0
2009-10-27,1368.1,NA
2009-11-04,NA,21560.0
2009-11-09,1371.52,NA
2009-11-16,NA,21650.0
2009-11-20,1378.05,NA
2009-11-30,NA,21750.0
2009-12-02,1382.7,NA
2009-12-10,NA,21780.0
2009-12-14,1386.77,NA
2009-12-22,NA,22010.0
2009-12-28,1402.2,NA
2010-01-04,NA,21910.0
2010-01-07,1393.7,NA
2010-01-14,NA,21960.0
2010-01-19,1398.3,NA
2010-01-26,NA,22250.0
2010-02-01,1413.99,NA
2010-02-08,NA,22260.0
2010-02-12,1413.35,NA
2010-02-19,NA,22290.0
2010-02-24,1419.44,NA
2010-03-03,NA,22480.0
2010-03-08,1422.74,NA
2010-03-15,NA,32540.0
2010-03-22,1450.5,NA
2010-03-26,NA,32920.0
2010-04-01,1454.54,NA
2010-04-07,NA,33040.0
2010-04-13,1452.77,NA
2010-04-19,NA,34100.0
2010-04-26,1459.66,NA
2010-05-03,NA,34770.0
2010-05-06,1478.88,NA
2010-05-12,NA,34740.0
2010-05-18,1484.04,NA
2010-05-24,NA,34690.0
2010-05-31,1477.59,NA
2010-06-07,NA,34906.3
2010-06-11,1487.58,NA
2010-06-17,NA,35230.0
2010-06-23,1495.97,NA
2010-06-29,NA,35290.0
2010-07-05,1496.64,NA
2010-07-12,NA,35130.0
2010-07-19,1503.82,NA
2010-07-22,NA,35100.0
2010-07-29,1515.46,NA
2010-08-03,NA,35340.0
2010-08-10,1507.33,NA
2010-08-16,NA,35390.0
2010-08-23,1507.77,NA
2010-08-27,NA,35520.0
2010-09-03,1513.37,NA
2010-09-08,NA,35230.0
2010-09-15,1514.61,NA
2010-09-20,NA,35530.0
2010-09-27,1513.39,NA
2010-10-01,NA,35670.0
2010-10-11,1527.71,NA
2010-10-13,NA,35530.0
2010-10-21,1537.67,NA
2010-10-25,NA,35730.0
2010-11-02,1539.06,NA
2010-11-08,NA,35920.0
2010-11-15,1547.89,NA
2010-11-18,NA,36016.7
2010-11-25,1554.09,NA
2010-11-29,NA,35870.0
2010-12-07,1559.02,NA
2010-12-13,NA,35900.0
2010-12-20,1569.36,NA
2010-12-23,NA,35970.0
2010-12-31,1564.86,NA
2011-01-04,NA,36150.0
2011-01-12,1573.86,NA
2011-01-17,NA,36790.0
2011-01-24,1586.04,NA
2011-01-27,NA,36500.0
2011-02-07,1563.06,NA
2011-02-08,NA,36200.0
2011-02-17,1582.35,NA
2011-02-21,NA,36400.0
2011-03-01,1564.05,NA
2011-03-04,NA,36360.0
2011-03-14,1571.55,NA
2011-03-15,NA,36400.0
2011-03-25,1577.72,NA
2011-03-28,NA,36520.0
2011-04-06,1589.85,NA
2011-04-08,NA,36777.1
2011-04-18,1602.72,NA
2011-04-20,NA,37330.0
2011-05-02,1602.32,37060.0
2011-05-12,1605.53,NA
2011-05-16,NA,37230.0
2011-05-24,1620.86,NA
2011-05-25,NA,37600.0
2011-06-06,1621.05,37420.0
2011-06-16,1620.39,NA
2011-06-20,NA,37570.0
2011-06-28,1628.26,NA
2011-06-30,NA,37620.0
2011-07-11,1632.98,NA
2011-07-12,NA,37810.0
2011-07-22,2314.16,NA
2011-07-25,NA,815.34
2011-08-03,2315.39,NA
2011-08-04,NA,815.68
2011-08-15,2296.4,NA
2011-08-16,NA,812.3
2011-09-05,2298.45,713.17
2011-09-08,2298.33,NA
2011-09-09,NA,714.77
2011-09-20,2323.68,722.89
2011-10-03,2325.32,725.45
2011-10-14,2275.61,692.1
2011-10-26,2276.81,693.9
2011-11-07,2277.95,702.1
2011-11-21,2276.49,26673.0
2011-11-30,NA,26700.0
2011-12-01,2279.39,NA
2011-12-12,2309.73,27060.0
2011-12-27,2309.35,27050.0
2012-01-05,2309.73,47030.0
2012-01-17,2319.93,47241.4
2012-01-30,2327.3,47420.0
2012-02-09,NA,47578.0
2012-02-10,2335.85,NA
2012-02-21,NA,47720.0
2012-02-22,2342.04,NA
2012-03-05,2354.42,47963.8
2012-03-16,NA,48230.0
2012-03-19,2359.44,NA
2012-03-27,NA,51830.0
2012-03-29,2387.71,NA
2012-04-09,NA,51700.0
2012-04-10,2379.67,NA
2012-04-20,NA,51803.4
2012-04-23,2384.18,NA
2012-05-02,NA,51730.0
2012-05-04,2388.49,NA
2012-05-14,NA,56410.0
2012-05-16,2385.19,NA
2012-05-25,NA,61450.0
2012-05-28,2391.82,NA
2012-06-06,NA,61850.0
2012-06-11,2397.32,NA
2012-06-18,NA,64019.99999999999
2012-06-21,2401.26,NA
2012-07-02,2405.13,59040.0
2012-07-12,NA,59090.0
2012-07-16,2410.56,NA
2012-07-24,NA,59230.0
2012-07-26,2413.25,NA
2012-08-06,NA,64670.0
2012-08-07,2432.31,NA
2012-08-16,NA,64849.99999999999
2012-08-23,2437.98,NA
2012-08-28,NA,65560.0
2012-08-31,2436.65,NA
2012-09-10,NA,67490.0
2012-09-12,2443.92,NA
2012-09-21,NA,70709.7
2012-09-24,2452.81,NA
2012-10-02,NA,83730.0
2012-10-08,2455.65,NA
2012-10-15,NA,83940.0
2012-10-18,2471.82,NA
2012-10-29,NA,86150.0
2012-10-30,2472.77,NA
2012-11-07,NA,80310.0
2012-11-12,2478.03,NA
2012-11-19,NA,88000.0
2012-11-23,2486.43,NA
2012-11-30,NA,83920.0
2012-12-05,2496.38,NA
2012-12-12,NA,87130.0
2012-12-17,2502.04,NA
2012-12-26,NA,89990.0
2013-01-02,2518.59,NA
2013-01-07,NA,90370.0
