tanggal,data
2024-10-03,1000.16
2024-10-04,998.28
2024-10-07,991.45
2024-10-08,993.71
2024-10-09,997.37
2024-10-10,999.5
2024-10-11,999.85
2024-10-14,999.5
2024-10-15,998.24
2024-10-16,999.84
2024-10-17,999.18
2024-10-18,998.87
2024-10-21,999.92
2024-10-22,994.72
2024-10-23,988.23
2024-10-24,992.89
2024-10-25,993.32
2024-10-28,989.36
2024-10-29,986.79
2024-10-30,988.06
2024-10-31,992.34
2024-11-01,991.75
2024-11-04,991.99
2024-11-05,995.0
2024-11-06,990.32
2024-11-07,993.09
2024-11-08,996.69
2024-11-11,997.45
2024-11-12,993.28
2024-11-13,989.29
2024-11-14,987.76
2024-11-15,989.28
2024-11-18,991.21
2024-11-19,992.84
2024-11-20,990.5
2024-11-21,989.58
2024-11-22,989.71
2024-11-25,990.5
2024-11-26,987.51
2024-11-28,990.16
2024-11-29,992.92
2024-12-02,991.23
2024-12-03,991.33
2024-12-04,990.93
2024-12-05,990.67
2024-12-06,990.71
2024-12-09,990.47
2024-12-10,988.9
2024-12-11,991.0
2024-12-12,989.54
2024-12-13,988.25
2024-12-16,987.63
2024-12-17,986.67
2024-12-18,985.77
2024-12-19,985.19
2024-12-20,985.89
2024-12-23,987.4
2024-12-24,988.3
2024-12-27,990.43
2024-12-30,990.36
2025-01-02,992.46
2025-01-03,992.33
2025-01-06,991.46
2025-01-07,989.73
2025-01-08,987.24
2025-01-09,984.38
2025-01-10,985.31
2025-01-13,980.59
2025-01-14,979.11
2025-01-15,978.72
2025-01-16,983.63
2025-01-17,986.57
2025-01-20,986.24
2025-01-21,988.51
2025-01-22,988.59
2025-01-23,990.87
2025-01-24,996.58
2025-01-30,996.63
